"region";"boligtype";"kvartal";"statistikkvariabel";"07221: Prisindeks for brukte boliger, etter region, boligtype, kvartal og statistikkvariabel"
"004 Trondheim";"02 Småhus";"2024K2";"Prisindeks for brukte boliger";137,8
"004 Trondheim";"02 Småhus";"2024K2";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"02 Småhus";"2024K3";"Prisindeks for brukte boliger";140,3
"004 Trondheim";"02 Småhus";"2024K3";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"02 Småhus";"2024K4";"Prisindeks for brukte boliger";135,4
"004 Trondheim";"02 Småhus";"2024K4";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"02 Småhus";"2025K1";"Prisindeks for brukte boliger";140,9
"004 Trondheim";"02 Småhus";"2025K1";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"02 Småhus";"2025K2";"Prisindeks for brukte boliger";143,6
"004 Trondheim";"02 Småhus";"2025K2";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"02 Småhus";"2025K3";"Prisindeks for brukte boliger";140,7
"004 Trondheim";"02 Småhus";"2025K3";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"1992K1";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"1992K1";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"1992K2";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"1992K2";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"1992K3";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"1992K3";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"1992K4";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"1992K4";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"1993K1";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"1993K1";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"1993K2";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"1993K2";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"1993K3";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"1993K3";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"1993K4";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"1993K4";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"1994K1";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"1994K1";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"1994K2";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"1994K2";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"1994K3";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"1994K3";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"1994K4";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"1994K4";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"1995K1";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"1995K1";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"1995K2";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"1995K2";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"1995K3";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"1995K3";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"1995K4";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"1995K4";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"1996K1";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"1996K1";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"1996K2";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"1996K2";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"1996K3";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"1996K3";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"1996K4";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"1996K4";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"1997K1";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"1997K1";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"1997K2";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"1997K2";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"1997K3";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"1997K3";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"1997K4";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"1997K4";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"1998K1";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"1998K1";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"1998K2";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"1998K2";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"1998K3";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"1998K3";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"1998K4";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"1998K4";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"1999K1";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"1999K1";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"1999K2";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"1999K2";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"1999K3";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"1999K3";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"1999K4";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"1999K4";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2000K1";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"2000K1";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2000K2";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"2000K2";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2000K3";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"2000K3";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2000K4";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"2000K4";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2001K1";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"2001K1";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2001K2";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"2001K2";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2001K3";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"2001K3";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2001K4";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"2001K4";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2002K1";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"2002K1";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2002K2";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"2002K2";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2002K3";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"2002K3";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2002K4";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"2002K4";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2003K1";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"2003K1";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2003K2";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"2003K2";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2003K3";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"2003K3";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2003K4";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"2003K4";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2004K1";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"2004K1";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2004K2";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"2004K2";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2004K3";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"2004K3";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2004K4";"Prisindeks for brukte boliger";0
"004 Trondheim";"03 Blokkleiligheter";"2004K4";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2005K1";"Prisindeks for brukte boliger";54,9
"004 Trondheim";"03 Blokkleiligheter";"2005K1";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2005K2";"Prisindeks for brukte boliger";55,9
"004 Trondheim";"03 Blokkleiligheter";"2005K2";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2005K3";"Prisindeks for brukte boliger";57,4
"004 Trondheim";"03 Blokkleiligheter";"2005K3";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2005K4";"Prisindeks for brukte boliger";57,6
"004 Trondheim";"03 Blokkleiligheter";"2005K4";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2006K1";"Prisindeks for brukte boliger";59,2
"004 Trondheim";"03 Blokkleiligheter";"2006K1";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2006K2";"Prisindeks for brukte boliger";61,4
"004 Trondheim";"03 Blokkleiligheter";"2006K2";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2006K3";"Prisindeks for brukte boliger";64,5
"004 Trondheim";"03 Blokkleiligheter";"2006K3";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2006K4";"Prisindeks for brukte boliger";64,9
"004 Trondheim";"03 Blokkleiligheter";"2006K4";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2007K1";"Prisindeks for brukte boliger";67,6
"004 Trondheim";"03 Blokkleiligheter";"2007K1";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2007K2";"Prisindeks for brukte boliger";68,1
"004 Trondheim";"03 Blokkleiligheter";"2007K2";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2007K3";"Prisindeks for brukte boliger";66,4
"004 Trondheim";"03 Blokkleiligheter";"2007K3";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2007K4";"Prisindeks for brukte boliger";64,1
"004 Trondheim";"03 Blokkleiligheter";"2007K4";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2008K1";"Prisindeks for brukte boliger";64
"004 Trondheim";"03 Blokkleiligheter";"2008K1";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2008K2";"Prisindeks for brukte boliger";64,5
"004 Trondheim";"03 Blokkleiligheter";"2008K2";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2008K3";"Prisindeks for brukte boliger";62,5
"004 Trondheim";"03 Blokkleiligheter";"2008K3";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2008K4";"Prisindeks for brukte boliger";59
"004 Trondheim";"03 Blokkleiligheter";"2008K4";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2009K1";"Prisindeks for brukte boliger";60,9
"004 Trondheim";"03 Blokkleiligheter";"2009K1";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2009K2";"Prisindeks for brukte boliger";63,7
"004 Trondheim";"03 Blokkleiligheter";"2009K2";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2009K3";"Prisindeks for brukte boliger";65,7
"004 Trondheim";"03 Blokkleiligheter";"2009K3";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2009K4";"Prisindeks for brukte boliger";66,6
"004 Trondheim";"03 Blokkleiligheter";"2009K4";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2010K1";"Prisindeks for brukte boliger";68,9
"004 Trondheim";"03 Blokkleiligheter";"2010K1";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2010K2";"Prisindeks for brukte boliger";70,4
"004 Trondheim";"03 Blokkleiligheter";"2010K2";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2010K3";"Prisindeks for brukte boliger";72
"004 Trondheim";"03 Blokkleiligheter";"2010K3";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2010K4";"Prisindeks for brukte boliger";72,7
"004 Trondheim";"03 Blokkleiligheter";"2010K4";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2011K1";"Prisindeks for brukte boliger";77,1
"004 Trondheim";"03 Blokkleiligheter";"2011K1";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2011K2";"Prisindeks for brukte boliger";78,9
"004 Trondheim";"03 Blokkleiligheter";"2011K2";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2011K3";"Prisindeks for brukte boliger";80,4
"004 Trondheim";"03 Blokkleiligheter";"2011K3";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2011K4";"Prisindeks for brukte boliger";81,5
"004 Trondheim";"03 Blokkleiligheter";"2011K4";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2012K1";"Prisindeks for brukte boliger";84,7
"004 Trondheim";"03 Blokkleiligheter";"2012K1";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2012K2";"Prisindeks for brukte boliger";88,3
"004 Trondheim";"03 Blokkleiligheter";"2012K2";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2012K3";"Prisindeks for brukte boliger";90,5
"004 Trondheim";"03 Blokkleiligheter";"2012K3";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2012K4";"Prisindeks for brukte boliger";89,6
"004 Trondheim";"03 Blokkleiligheter";"2012K4";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2013K1";"Prisindeks for brukte boliger";96
"004 Trondheim";"03 Blokkleiligheter";"2013K1";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2013K2";"Prisindeks for brukte boliger";94,9
"004 Trondheim";"03 Blokkleiligheter";"2013K2";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2013K3";"Prisindeks for brukte boliger";93,5
"004 Trondheim";"03 Blokkleiligheter";"2013K3";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2013K4";"Prisindeks for brukte boliger";89,7
"004 Trondheim";"03 Blokkleiligheter";"2013K4";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2014K1";"Prisindeks for brukte boliger";92,4
"004 Trondheim";"03 Blokkleiligheter";"2014K1";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2014K2";"Prisindeks for brukte boliger";95,1
"004 Trondheim";"03 Blokkleiligheter";"2014K2";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2014K3";"Prisindeks for brukte boliger";96
"004 Trondheim";"03 Blokkleiligheter";"2014K3";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2014K4";"Prisindeks for brukte boliger";95,4
"004 Trondheim";"03 Blokkleiligheter";"2014K4";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2015K1";"Prisindeks for brukte boliger";99,2
"004 Trondheim";"03 Blokkleiligheter";"2015K1";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2015K2";"Prisindeks for brukte boliger";101,7
"004 Trondheim";"03 Blokkleiligheter";"2015K2";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2015K3";"Prisindeks for brukte boliger";99,9
"004 Trondheim";"03 Blokkleiligheter";"2015K3";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2015K4";"Prisindeks for brukte boliger";99,3
"004 Trondheim";"03 Blokkleiligheter";"2015K4";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2016K1";"Prisindeks for brukte boliger";103
"004 Trondheim";"03 Blokkleiligheter";"2016K1";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2016K2";"Prisindeks for brukte boliger";105,7
"004 Trondheim";"03 Blokkleiligheter";"2016K2";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2016K3";"Prisindeks for brukte boliger";107
"004 Trondheim";"03 Blokkleiligheter";"2016K3";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2016K4";"Prisindeks for brukte boliger";105,4
"004 Trondheim";"03 Blokkleiligheter";"2016K4";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2017K1";"Prisindeks for brukte boliger";110,9
"004 Trondheim";"03 Blokkleiligheter";"2017K1";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2017K2";"Prisindeks for brukte boliger";112,3
"004 Trondheim";"03 Blokkleiligheter";"2017K2";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2017K3";"Prisindeks for brukte boliger";108,6
"004 Trondheim";"03 Blokkleiligheter";"2017K3";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2017K4";"Prisindeks for brukte boliger";105,7
"004 Trondheim";"03 Blokkleiligheter";"2017K4";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2018K1";"Prisindeks for brukte boliger";108
"004 Trondheim";"03 Blokkleiligheter";"2018K1";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2018K2";"Prisindeks for brukte boliger";111,1
"004 Trondheim";"03 Blokkleiligheter";"2018K2";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2018K3";"Prisindeks for brukte boliger";108,8
"004 Trondheim";"03 Blokkleiligheter";"2018K3";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2018K4";"Prisindeks for brukte boliger";106,5
"004 Trondheim";"03 Blokkleiligheter";"2018K4";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2019K1";"Prisindeks for brukte boliger";108,8
"004 Trondheim";"03 Blokkleiligheter";"2019K1";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2019K2";"Prisindeks for brukte boliger";111
"004 Trondheim";"03 Blokkleiligheter";"2019K2";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2019K3";"Prisindeks for brukte boliger";110,4
"004 Trondheim";"03 Blokkleiligheter";"2019K3";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2019K4";"Prisindeks for brukte boliger";108,5
"004 Trondheim";"03 Blokkleiligheter";"2019K4";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2020K1";"Prisindeks for brukte boliger";110,1
"004 Trondheim";"03 Blokkleiligheter";"2020K1";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2020K2";"Prisindeks for brukte boliger";113,2
"004 Trondheim";"03 Blokkleiligheter";"2020K2";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2020K3";"Prisindeks for brukte boliger";113,7
"004 Trondheim";"03 Blokkleiligheter";"2020K3";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2020K4";"Prisindeks for brukte boliger";113,7
"004 Trondheim";"03 Blokkleiligheter";"2020K4";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2021K1";"Prisindeks for brukte boliger";122,2
"004 Trondheim";"03 Blokkleiligheter";"2021K1";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2021K2";"Prisindeks for brukte boliger";124,4
"004 Trondheim";"03 Blokkleiligheter";"2021K2";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2021K3";"Prisindeks for brukte boliger";126
"004 Trondheim";"03 Blokkleiligheter";"2021K3";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2021K4";"Prisindeks for brukte boliger";123,9
"004 Trondheim";"03 Blokkleiligheter";"2021K4";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2022K1";"Prisindeks for brukte boliger";131,1
"004 Trondheim";"03 Blokkleiligheter";"2022K1";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2022K2";"Prisindeks for brukte boliger";133,4
"004 Trondheim";"03 Blokkleiligheter";"2022K2";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2022K3";"Prisindeks for brukte boliger";130,5
"004 Trondheim";"03 Blokkleiligheter";"2022K3";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2022K4";"Prisindeks for brukte boliger";125,5
"004 Trondheim";"03 Blokkleiligheter";"2022K4";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2023K1";"Prisindeks for brukte boliger";129,9
"004 Trondheim";"03 Blokkleiligheter";"2023K1";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2023K2";"Prisindeks for brukte boliger";133,2
"004 Trondheim";"03 Blokkleiligheter";"2023K2";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2023K3";"Prisindeks for brukte boliger";131,1
"004 Trondheim";"03 Blokkleiligheter";"2023K3";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2023K4";"Prisindeks for brukte boliger";126,9
"004 Trondheim";"03 Blokkleiligheter";"2023K4";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2024K1";"Prisindeks for brukte boliger";130,7
"004 Trondheim";"03 Blokkleiligheter";"2024K1";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2024K2";"Prisindeks for brukte boliger";134,4
"004 Trondheim";"03 Blokkleiligheter";"2024K2";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2024K3";"Prisindeks for brukte boliger";131,1
"004 Trondheim";"03 Blokkleiligheter";"2024K3";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2024K4";"Prisindeks for brukte boliger";130
"004 Trondheim";"03 Blokkleiligheter";"2024K4";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2025K1";"Prisindeks for brukte boliger";135,4
"004 Trondheim";"03 Blokkleiligheter";"2025K1";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2025K2";"Prisindeks for brukte boliger";137,8
"004 Trondheim";"03 Blokkleiligheter";"2025K2";"Prisindeks for brukte boliger, sesongjustert";..
"004 Trondheim";"03 Blokkleiligheter";"2025K3";"Prisindeks for brukte boliger";134,7
"004 Trondheim";"03 Blokkleiligheter";"2025K3";"Prisindeks for brukte boliger, sesongjustert";..
"005 Akershus uten Bærum";"00 Alle boligtyper";"1992K1";"Prisindeks for brukte boliger";17,5
"005 Akershus uten Bærum";"00 Alle boligtyper";"1992K1";"Prisindeks for brukte boliger, sesongjustert";..
"005 Akershus uten Bærum";"00 Alle boligtyper";"1992K2";"Prisindeks for brukte boliger";17,9
